Date,Open,High,Low,Close,Adj Close,Volume
2001-04-25,14500.000000,14500.000000,12350.000000,13000.000000,8884.946289,3094900
2001-04-26,14500.000000,14500.000000,12350.000000,13000.000000,8884.946289,3094900
2001-04-27,12150.000000,12800.000000,12000.000000,12700.000000,8679.908203,854300
2001-04-30,12450.000000,12850.000000,12450.000000,12800.000000,8748.253906,803200
2001-05-01,null,null,null,null,null,null
2001-05-02,12900.000000,13250.000000,12650.000000,13000.000000,8884.946289,851500
2001-05-03,13100.000000,14950.000000,12950.000000,14950.000000,10217.685547,3525500
2001-05-04,14950.000000,15100.000000,14250.000000,14900.000000,10183.514648,1314700
2001-05-07,null,null,null,null,null,null
2001-05-08,14500.000000,15550.000000,14450.000000,14750.000000,10080.995117,569500
2001-05-09,14400.000000,14800.000000,14400.000000,14600.000000,9978.478516,384100
2001-05-10,14600.000000,15050.000000,14350.000000,14650.000000,10012.650391,488100
2001-05-11,14750.000000,15150.000000,14700.000000,14900.000000,10183.514648,587700
2001-05-14,15000.000000,15100.000000,14700.000000,14850.000000,10149.343750,242700
2001-05-15,15100.000000,15100.000000,14600.000000,14850.000000,10149.343750,257400
2001-05-16,14750.000000,14850.000000,14150.000000,14500.000000,9910.133789,613600
2001-05-17,14850.000000,15700.000000,14600.000000,15650.000000,10696.106445,1695400
2001-05-18,16300.000000,17950.000000,16150.000000,17550.000000,11994.675781,2393500
2001-05-21,18500.000000,18500.000000,17500.000000,18250.000000,12473.097656,1283100
2001-05-22,18250.000000,18400.000000,17650.000000,17800.000000,12165.541016,750000
2001-05-23,18200.000000,18950.000000,17900.000000,18400.000000,12575.617188,718100
2001-05-24,18000.000000,18700.000000,17800.000000,18600.000000,12712.307617,311800
2001-05-25,18900.000000,19400.000000,18600.000000,19050.000000,13019.862305,475500
2001-05-28,19000.000000,19150.000000,18650.000000,19000.000000,12985.690430,318700
2001-05-29,18600.000000,18900.000000,18350.000000,18900.000000,12917.344727,401700
2001-05-30,18600.000000,19500.000000,18500.000000,19350.000000,13224.902344,464700
2001-05-31,18500.000000,18950.000000,18450.000000,18700.000000,12780.653320,413800
2001-06-01,18800.000000,18900.000000,17700.000000,17700.000000,12097.196289,381300
2001-06-04,17200.000000,17900.000000,17000.000000,17400.000000,11892.159180,383500
2001-06-05,17600.000000,17850.000000,17400.000000,17400.000000,11892.159180,602100
2001-06-06,null,null,null,null,null,null
2001-06-07,17400.000000,17700.000000,16850.000000,16900.000000,11550.428711,434600
2001-06-08,17000.000000,18250.000000,16900.000000,18250.000000,12473.097656,457700
2001-06-11,17800.000000,18450.000000,17600.000000,18400.000000,12575.617188,201700
2001-06-12,18300.000000,18300.000000,18000.000000,18150.000000,12404.750977,92000
2001-06-13,18150.000000,18500.000000,17800.000000,17800.000000,12165.541016,173600
2001-06-14,17700.000000,18200.000000,17600.000000,18200.000000,12438.923828,286600
2001-06-15,17900.000000,17950.000000,17350.000000,17950.000000,12268.058594,214900
2001-06-18,17500.000000,17950.000000,17450.000000,17800.000000,12165.541016,130600
