Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,300000.000000,305500.000000,283000.000000,305500.000000,264865.031250,1483900
2000-01-05,290000.000000,303000.000000,276000.000000,279000.000000,241889.859375,1493600
2000-01-06,287500.000000,289000.000000,279000.000000,281000.000000,243623.812500,1087800
2000-01-07,278000.000000,283500.000000,268000.000000,277000.000000,240155.859375,806100
2000-01-10,280000.000000,288500.000000,279000.000000,288500.000000,250126.203125,937600
2000-01-11,291000.000000,305000.000000,288500.000000,288500.000000,250126.203125,1194900
2000-01-12,280500.000000,287000.000000,280000.000000,286000.000000,247958.796875,584400
2000-01-13,280000.000000,287000.000000,278000.000000,285500.000000,247525.250000,823800
2000-01-14,286000.000000,294000.000000,284000.000000,291500.000000,252727.265625,987500
2000-01-17,300000.000000,309000.000000,296000.000000,305000.000000,264431.531250,1270100
2000-01-18,308000.000000,308000.000000,299000.000000,305000.000000,264431.531250,905200
2000-01-19,300000.000000,302000.000000,298000.000000,298000.000000,258362.609375,804100
2000-01-20,293000.000000,302000.000000,291000.000000,302000.000000,261830.640625,746300
2000-01-21,297500.000000,299000.000000,294000.000000,294000.000000,254894.687500,650700
2000-01-24,290000.000000,295000.000000,285000.000000,285000.000000,247091.812500,687100
2000-01-25,276000.000000,282000.000000,272000.000000,272000.000000,235820.937500,885000
2000-01-26,275000.000000,276000.000000,270500.000000,274000.000000,237554.875000,585700
2000-01-27,274000.000000,281000.000000,271500.000000,276000.000000,239288.875000,558000
2000-01-28,282000.000000,294000.000000,277000.000000,291000.000000,252293.671875,766300
2000-01-31,282000.000000,286500.000000,278000.000000,279000.000000,241889.859375,792600
2000-02-01,280000.000000,284000.000000,263000.000000,266000.000000,230619.015625,1429400
2000-02-02,261000.000000,268500.000000,255500.000000,262500.000000,227584.531250,1282100
2000-02-03,262500.000000,273000.000000,248500.000000,256500.000000,222382.625000,2855300
2000-02-04,256500.000000,256500.000000,256500.000000,256500.000000,222382.625000,0
2000-02-07,257000.000000,266500.000000,252000.000000,262000.000000,227151.046875,1282800
2000-02-08,267000.000000,274000.000000,265500.000000,271500.000000,235387.437500,1169200
2000-02-09,278000.000000,286000.000000,274000.000000,286000.000000,247958.796875,1021000
2000-02-10,283000.000000,294000.000000,280000.000000,288000.000000,249692.703125,1236900
2000-02-11,298000.000000,298000.000000,284000.000000,285000.000000,247091.812500,693200
2000-02-14,280000.000000,283000.000000,267000.000000,269000.000000,233219.953125,882800
2000-02-15,269000.000000,271000.000000,257000.000000,260000.000000,225417.078125,766300
2000-02-16,259000.000000,260000.000000,239000.000000,250000.000000,216747.156250,1462300
2000-02-17,247000.000000,255000.000000,245500.000000,254000.000000,220215.156250,1303700
2000-02-18,268500.000000,281500.000000,258000.000000,265000.000000,229752.000000,2175000
2000-02-21,260000.000000,263000.000000,251500.000000,253500.000000,219781.656250,529700
2000-02-22,250000.000000,262000.000000,250000.000000,256000.000000,221949.109375,483600
2000-02-23,261000.000000,263000.000000,255000.000000,257000.000000,222816.109375,554400
2000-02-24,256000.000000,262000.000000,253000.000000,253500.000000,219781.656250,521500
2000-02-25,254000.000000,257500.000000,249000.000000,256000.000000,221949.109375,557500
2000-02-28,250000.000000,252500.000000,240000.000000,240000.000000,208077.296875,602800
2000-02-29,245000.000000,257000.000000,242000.000000,256000.000000,221949.109375,1036400
2000-03-01,256000.000000,256000.000000,256000.000000,256000.000000,221949.109375,0
2000-03-02,294000.000000,294000.000000,276000.000000,294000.000000,254894.687500,2355000
2000-03-03,310000.000000,312500.000000,294000.000000,300000.000000,260096.593750,2819800
2000-03-06,300000.000000,302500.000000,280000.000000,282000.000000,244490.843750,783000
2000-03-07,280000.000000,282000.000000,274000.000000,281000.000000,243623.812500,601400
2000-03-08,276000.000000,300000.000000,275000.000000,296000.000000,256628.687500,649200
2000-03-09,298500.000000,299000.000000,281000.000000,281000.000000,243623.812500,1117800
2000-03-10,289500.000000,290000.000000,276000.000000,277000.000000,240155.859375,572100
2000-03-13,274000.000000,274500.000000,258000.000000,259000.000000,224550.062500,644300
2000-03-14,258500.000000,269000.000000,258000.000000,260500.000000,225850.562500,601200
2000-03-15,260000.000000,270000.000000,256000.000000,270000.000000,234086.953125,922100
2000-03-16,274000.000000,276000.000000,268000.000000,270000.000000,234086.953125,575900
2000-03-17,277000.000000,278000.000000,270000.000000,274000.000000,237554.875000,481600
2000-03-20,280000.000000,285500.000000,276500.000000,283000.000000,245357.796875,527300
2000-03-21,285000.000000,297000.000000,280500.000000,294000.000000,254894.687500,898500
2000-03-22,298000.000000,315000.000000,294000.000000,310000.000000,268766.531250,1739500
2000-03-23,324000.000000,329000.000000,310000.000000,310000.000000,268766.531250,1299000
2000-03-24,316000.000000,356000.000000,309000.000000,340000.000000,294776.187500,1805200
2000-03-27,348000.000000,352000.000000,335000.000000,340000.000000,294776.187500,1354600
2000-03-28,345000.000000,363000.000000,341000.000000,351500.000000,304746.500000,1488500
2000-03-29,351500.000000,384000.000000,349000.000000,383000.000000,332056.718750,1561800
2000-03-30,376000.000000,378000.000000,352500.000000,352500.000000,305613.531250,1492900
2000-03-31,340000.000000,353500.000000,332500.000000,335000.000000,290441.218750,1277100
2000-04-03,346000.000000,366000.000000,343000.000000,355000.000000,307781.031250,1136100
2000-04-04,350000.000000,364500.000000,333000.000000,340000.000000,294776.187500,1166800
2000-04-05,340000.000000,340000.000000,340000.000000,340000.000000,294776.187500,0
2000-04-06,343000.000000,348000.000000,334000.000000,334000.000000,289574.250000,944700
2000-04-07,343000.000000,363000.000000,339000.000000,360000.000000,312115.937500,847100
2000-04-10,375000.000000,375000.000000,360000.000000,365000.000000,316450.812500,717700
2000-04-11,360000.000000,360000.000000,347500.000000,355000.000000,307781.031250,581500
2000-04-12,348000.000000,351500.000000,343000.000000,345500.000000,299544.625000,705000
2000-04-13,345500.000000,345500.000000,345500.000000,345500.000000,299544.625000,0
2000-04-14,330000.000000,334000.000000,313000.000000,313000.000000,271367.531250,1247300
2000-04-17,271000.000000,287500.000000,267000.000000,276000.000000,239288.875000,1561000
2000-04-18,310000.000000,312000.000000,293000.000000,302000.000000,261830.640625,1474600
2000-04-19,315000.000000,323000.000000,293000.000000,300000.000000,260096.593750,1212300
2000-04-20,298000.000000,308000.000000,296000.000000,301000.000000,260963.640625,746700
2000-04-21,303000.000000,309000.000000,298500.000000,302500.000000,262264.093750,528500
2000-04-24,298500.000000,301500.000000,288000.000000,290000.000000,251426.750000,556600
2000-04-25,281000.000000,288000.000000,276000.000000,282000.000000,244490.843750,698000
2000-04-26,291000.000000,293000.000000,280000.000000,280000.000000,242756.828125,785800
2000-04-27,276000.000000,285000.000000,270000.000000,270000.000000,234086.953125,1082200
2000-04-28,275000.000000,305000.000000,273000.000000,300000.000000,260096.593750,1510600
2000-05-01,300000.000000,300000.000000,300000.000000,300000.000000,260096.593750,0
2000-05-02,310000.000000,326500.000000,306000.000000,314000.000000,272234.468750,1446700
2000-05-03,312000.000000,313000.000000,304500.000000,309000.000000,267899.500000,531700
2000-05-04,311000.000000,318000.000000,307000.000000,309000.000000,267899.500000,522000
2000-05-05,309000.000000,309000.000000,309000.000000,309000.000000,267899.500000,0
2000-05-08,320000.000000,335000.000000,315000.000000,328000.000000,284372.343750,1053900
2000-05-09,328000.000000,328000.000000,328000.000000,328000.000000,284372.343750,0
2000-05-10,316000.000000,319500.000000,313500.000000,317500.000000,275268.937500,552400
2000-05-11,317500.000000,317500.000000,317500.000000,317500.000000,275268.937500,0
2000-05-12,321000.000000,322000.000000,308000.000000,308000.000000,267032.531250,943400
2000-05-15,314500.000000,326500.000000,311000.000000,322000.000000,279170.312500,942400
2000-05-16,325500.000000,340000.000000,325500.000000,340000.000000,294776.187500,792400
2000-05-17,350000.000000,367000.000000,346000.000000,346000.000000,299978.062500,1524700
2000-05-18,337000.000000,350000.000000,334000.000000,340000.000000,294776.187500,731600
2000-05-19,337000.000000,345000.000000,330000.000000,345000.000000,299111.156250,829000
2000-05-22,336000.000000,341500.000000,331000.000000,333500.000000,289140.687500,727700
2000-05-23,325000.000000,335000.000000,317500.000000,319000.000000,276569.375000,825800
2000-05-24,308000.000000,318500.000000,296000.000000,310000.000000,268766.531250,1443000
2000-05-25,316500.000000,319000.000000,296500.000000,300000.000000,260096.593750,1719300
2000-05-26,295000.000000,299500.000000,280000.000000,280000.000000,242756.828125,1342000
2000-05-29,263000.000000,284000.000000,262000.000000,273000.000000,236687.859375,1342600
2000-05-30,273000.000000,273000.000000,273000.000000,273000.000000,236687.859375,0
2000-05-31,300000.000000,314500.000000,298000.000000,308000.000000,267032.531250,1678700
2000-06-01,310000.000000,320500.000000,306000.000000,315000.000000,273101.406250,1004600
2000-06-02,334500.000000,345000.000000,325500.000000,331000.000000,286973.250000,1687700
2000-06-05,346000.000000,349000.000000,334000.000000,337000.000000,292175.156250,960200
2000-06-06,337000.000000,337000.000000,337000.000000,337000.000000,292175.156250,0
2000-06-07,330000.000000,349000.000000,325500.000000,340000.000000,294776.187500,1067300
2000-06-08,333000.000000,348000.000000,326500.000000,326500.000000,283071.781250,1171000
2000-06-09,330000.000000,352000.000000,326500.000000,351000.000000,304313.031250,1277200
2000-06-12,360000.000000,364000.000000,351500.000000,359500.000000,311682.468750,990300
2000-06-13,353000.000000,355000.000000,343500.000000,353000.000000,306046.968750,849900
2000-06-14,361500.000000,382000.000000,354500.000000,382000.000000,331189.656250,1260400
2000-06-15,378000.000000,378000.000000,350000.000000,350000.000000,303446.031250,1224500
2000-06-16,345000.000000,348000.000000,335500.000000,337000.000000,292175.156250,1329100
2000-06-19,330000.000000,347500.000000,327500.000000,335000.000000,290441.218750,1071200
2000-06-20,347000.000000,359000.000000,341500.000000,357000.000000,309515.031250,1195800
2000-06-21,365000.000000,369000.000000,353500.000000,354000.000000,306914.062500,751700
2000-06-22,362000.000000,363500.000000,348000.000000,352000.000000,305180.093750,672700
2000-06-23,349000.000000,350500.000000,343000.000000,350000.000000,303446.031250,584300
2000-06-26,355000.000000,368000.000000,349500.000000,360500.000000,312549.531250,799600
2000-06-27,366000.000000,372000.000000,359500.000000,365500.000000,316884.375000,910700
2000-06-28,361000.000000,377000.000000,361000.000000,376000.000000,325987.812500,945900
2000-06-29,380000.000000,387000.000000,369000.000000,374500.000000,324687.312500,1222400
2000-06-30,372000.000000,377000.000000,364500.000000,369000.000000,319918.812500,705000
2000-07-03,372000.000000,377500.000000,371000.000000,375000.000000,325120.687500,519500
2000-07-04,380000.000000,381000.000000,367500.000000,367500.000000,318618.375000,656200
2000-07-05,369500.000000,376000.000000,367500.000000,371500.000000,322086.312500,497900
2000-07-06,362000.000000,367500.000000,359000.000000,365000.000000,316450.812500,1206800
2000-07-07,367000.000000,373000.000000,361500.000000,368000.000000,319051.937500,811600
2000-07-10,372000.000000,381500.000000,370500.000000,380000.000000,329455.687500,850100
2000-07-11,379000.000000,387000.000000,372500.000000,372500.000000,322953.343750,698900
2000-07-12,376000.000000,383000.000000,373000.000000,382000.000000,331189.656250,802800
2000-07-13,385000.000000,394000.000000,378500.000000,388000.000000,336391.562500,976100
2000-07-14,389000.000000,392000.000000,377000.000000,377500.000000,327288.250000,608500
2000-07-17,377500.000000,377500.000000,377500.000000,377500.000000,327288.250000,0
2000-07-18,377500.000000,381000.000000,372000.000000,373000.000000,323386.781250,392100
2000-07-19,377500.000000,381000.000000,372000.000000,373000.000000,323386.781250,392100
2000-07-20,353000.000000,355500.000000,342000.000000,345000.000000,299111.156250,806300
2000-07-21,348000.000000,352500.000000,338000.000000,346000.000000,299978.062500,967900
2000-07-24,332000.000000,337000.000000,318000.000000,319000.000000,276569.375000,980300
2000-07-25,315500.000000,320000.000000,306000.000000,314000.000000,272234.468750,1134700
2000-07-26,320000.000000,329000.000000,318000.000000,327500.000000,283938.781250,1094900
2000-07-27,311000.000000,318000.000000,305000.000000,311500.000000,270066.968750,870800
2000-07-28,290000.000000,295500.000000,285500.000000,286500.000000,248392.234375,1660700
2000-07-31,286500.000000,295500.000000,277500.000000,295000.000000,255761.687500,932300
2000-08-01,298000.000000,313500.000000,293500.000000,311000.000000,269633.437500,1062400
2000-08-02,305000.000000,308500.000000,296500.000000,303500.000000,263131.093750,743800
2000-08-03,309000.000000,309000.000000,298500.000000,301500.000000,261397.109375,556300
2000-08-04,296500.000000,300500.000000,292500.000000,296000.000000,256628.687500,472100
2000-08-07,287000.000000,288500.000000,279000.000000,279000.000000,241889.859375,575300
2000-08-08,283000.000000,287500.000000,278500.000000,279000.000000,241889.859375,669500
2000-08-09,284000.000000,302000.000000,284000.000000,300000.000000,260096.593750,791400
2000-08-10,300000.000000,308000.000000,293000.000000,308000.000000,267032.531250,816600
2000-08-11,300000.000000,303500.000000,294000.000000,298000.000000,258362.609375,676800
2000-08-14,303000.000000,308000.000000,300000.000000,301000.000000,260963.640625,474600
2000-08-15,301000.000000,301000.000000,301000.000000,301000.000000,260963.640625,0
2000-08-16,325000.000000,326500.000000,316500.000000,321000.000000,278303.406250,1038300
2000-08-17,324000.000000,328000.000000,317000.000000,322000.000000,279170.312500,726900
2000-08-18,325000.000000,326000.000000,310000.000000,310000.000000,268766.531250,427400
2000-08-21,310000.000000,317000.000000,309500.000000,313500.000000,271801.031250,419000
2000-08-22,313000.000000,323500.000000,312000.000000,323000.000000,280037.375000,554200
